question,accepted_response,rejected_response,rule
"In the case of Nasr v NRMA Insurance [2006] NSWSC 1018, why was the plaintiff's appeal lodged out of time?",The plaintiff in the case of Nasr v NRMA Insurance [2006] NSWSC 1018 lodged the appeal out of time due to an erroneous understanding of the applicable time limit.,"In the Nasr v NRMA Insurance [2006] NSWSC 1018 case, the plaintiff's appeal was lodged out of time because the necessary paperwork had not been filed by the plaintiff within the prescribed time frame.",Voice Rule
"In the case of R v NGUYEN [2001] NSWCCA 334, what was the relationship between the Appellant and Mr Nguyen, and what activities of Mr Nguyen did the Appellant testify about?","In the case of R v NGUYEN [2001] NSWCCA 334, the Appellant testified about being a drug courier for Mr Nguyen, revealing their relationship as partners in illegal activities.","In the case of R v NGUYEN [2001] NSWCCA 334, it was testified by the Appellant about the drug trafficking activities of Mr Nguyen, with whom a close relationship was shared.",Voice Rule
"In the case of Moore v Scenic Tours Pty Ltd [2015] NSWSC 237, what was the court's decision regarding the motion to restrain a firm from acting?","In Moore v Scenic Tours Pty Ltd [2015] NSWSC 237, the court decided not to restrain the firm from acting.","In the case of Moore v Scenic Tours Pty Ltd [2015] NSWSC 237, the motion to restrain a firm from acting was denied by the court.",Voice Rule
What were the circumstances and outcomes of the case Inspector Phillip Estreich v Hannas Civil Engineering Pty Ltd and Afram Hanna [2009] NSWIRComm 168 in New South Wales?,"In the case Inspector Phillip Estreich v Hannas Civil Engineering Pty Ltd and Afram Hanna [2009] NSWIRComm 168, Hannas Civil Engineering Pty Ltd and Afram Hanna received a penalty of $150,000 and $30,000 respectively for breaching the Occupational Health and Safety Act 2000 (NSW), following an incident where an employee sustained serious injuries due to inadequate safety measures.","In the case of Inspector Phillip Estreich v Hannas Civil Engineering Pty Ltd and Afram Hanna [2009] NSWIRComm 168, it was ruled by the New South Wales Industrial Relations Commission that the defendants were guilty of failing to ensure the health, safety, and welfare of their employees which resulted in a fine being imposed upon them.",Voice Rule
"In the case of Ruddock v Vadarlis [2001] FCA 1329, what was the argument of the Commonwealth regarding the application of habeas corpus and how was it received?","In Ruddock v Vadarlis [2001] FCA 1329, the Commonwealth argued that habeas corpus didn't apply as the detainees were not in 'custody', but the court rejected this argument.","In the case of Ruddock v Vadarlis [2001] FCA 1329, the argument that the application of habeas corpus should not be extended to the executive's discretionary powers was made by the Commonwealth, and it was dismissed by the court.",Voice Rule
When did the Poisons List Amendment Order 2012 come into effect in Tasmania?,"The Poisons List Amendment Order 2012 became effective in Tasmania on October 1, 2012.","The Poisons List Amendment Order 2012 was put into effect in Tasmania on the 1st of July, 2012.",Voice Rule
Who were the defendants in the case Australian Securities and Investments Commission v Letten (No 24) [2014] FCA 1322?,"In the case Australian Securities and Investments Commission v Letten (No 24) [2014] FCA 1322, the defendants were Mr. William Joseph Letten and two of his property development companies.","In the case Australian Securities and Investments Commission v Letten (No 24) [2014] FCA 1322, the defendants were identified as Mr. William Joseph Letten and two of his associated investment schemes.",Voice Rule
What changes were made in the amendment AD/BAe 146/104 Amdt 1 to the British Aerospace BAe 146 Series Aeroplanes Airworthiness Directive?,The amendment AD/BAe 146/104 Amdt 1 introduced changes to the British Aerospace BAe 146 Series Aeroplanes Airworthiness Directive.,"In the amendment AD/BAe 146/104 Amdt 1 to the British Aerospace BAe 146 Series Aeroplanes Airworthiness Directive, modifications were enacted.",Voice Rule
What is the landlord's general obligation under section 63 of the Act in the case of Anderson v Armitage [2014] NSWCATCD 157 in New South Wales?,"Under section 63 of the Act, as reflected in the case of Anderson v Armitage [2014] NSWCATCD 157, the landlord has an obligation to deliver a written eviction notice.","Under section 63 of the Act in the case of Anderson v Armitage [2014] NSWCATCD 157 in New South Wales, it is required by the landlord to provide a written notice prior to eviction.",Voice Rule
What were the two certifications contained in the Certificate in the case of Pauga v Samoa [2022] FCA 1097?,"In the case of Pauga v Samoa [2022] FCA 1097, the Certificate contained two certifications: the certification of the authenticity of the documents and the certification of the accuracy of the translations.","In the case of Pauga v Samoa [2022] FCA 1097, the Certificate contained two certifications which were that the documents were an accurate translation of the original and that they were true copies of the original documents.",Voice Rule
"In the case of Alan John Hyland (as Executor of the Estate of the late Lily Therese Hyland) v Jacqueline Sheri Woods [2011] NSWSC 266, what was the court's decision regarding the distribution of the monies in the Commonwealth Bank of Australia fixed deposit account?","In the case of Alan John Hyland v Jacqueline Sheri Woods [2011] NSWSC 266, the court decided to distribute the monies in the Commonwealth Bank of Australia fixed deposit account to Jacqueline Sheri Woods.","In the case of Alan John Hyland (as Executor of the Estate of the late Lily Therese Hyland) v Jacqueline Sheri Woods [2011] NSWSC 266, the decision was made by the court that the monies in the Commonwealth Bank of Australia fixed deposit account should be distributed as part of the deceased's estate.",Voice Rule
"What is the test for determining a ""genuine"" dispute or claim in the context of section 459H, as interpreted by Australian Commonwealth courts?","Australian Commonwealth courts determine a ""genuine"" dispute or claim under section 459H by examining whether the debtor has a plausible contention that requires investigation.","The determination of a ""genuine"" dispute or claim under section 459H, as interpreted by Australian Commonwealth courts, is based on whether there is a plausible contention requiring investigation, and it should not be a spurious claim with no substance, as evidenced by the available material.",Voice Rule
What were the charges against the applicant in the case of R v Perry [2000] NSWCCA 375 in New South Wales?,The applicant in the case of R v Perry [2000] NSWCCA 375 faced charges of armed robbery and detaining for advantage.,"In the case of R v Perry [2000] NSWCCA 375, the applicant was charged with attempted murder and grievous bodily harm with intent.",Voice Rule
"In the context of the Anti-Discrimination Act (AD Act) in New South Wales, how is the term ""incite"" interpreted in relation to the offence of serious racial vilification?","In relation to the offence of serious racial vilification under the Anti-Discrimination Act (AD Act) of New South Wales, the term ""incite"" is interpreted as encouraging, promoting or provoking discriminatory behavior or attitudes.","In relation to the offence of serious racial vilification under the Anti-Discrimination Act (AD Act) in New South Wales, the term ""incite"" is interpreted as the act of encouraging or prompting others towards feelings of racial hatred or contempt.",Voice Rule
What was the final decision of the court in the case of Colbron v Freeman (No 2) [2014] NSWSC 1528 in New South Wales?,The court found in favor of Freeman in the case of Colbron v Freeman (No 2) [2014] NSWSC 1528 in New South Wales.,"In the case of Colbron v Freeman (No 2) [2014] NSWSC 1528, it was determined by the court that the claim of the plaintiff was to be dismissed.",Voice Rule
"Under the Criminal Assets Recovery Act 1990 (NSW), what powers does the New South Wales Crime Commission have in relation to restraining orders and property control?","The New South Wales Crime Commission, under the Criminal Assets Recovery Act 1990 (NSW), can issue restraining orders and control property.","Under the Criminal Assets Recovery Act 1990 (NSW), restraining orders can be applied for and control over property can be assumed by the New South Wales Crime Commission.",Voice Rule
"Under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), what is the Secretary required to do if a person's application for a payment under the BSWAT payment scheme was refused before the commencement day due to a determination that the payment amount for the person was nil?","Under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), the Secretary must reconsider the person's application for a payment if it was previously refused due to a determination that the payment amount was nil.","Under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), it is required by the Secretary to reconsider the application of a person whose application for a payment under the BSWAT payment scheme was previously refused before the commencement day due to a determination that the payment amount for the person was nil.",Voice Rule
"In the case of Angela Therese Harvey (nee Alecci) v Eileen Therese Alecci & Anor [2002] NSWSC 898, what was the court's decision regarding the order for mediation?","In the case of Angela Therese Harvey (nee Alecci) v Eileen Therese Alecci & Anor [2002] NSWSC 898, the court ordered mediation.","In the case of Angela Therese Harvey (nee Alecci) v Eileen Therese Alecci & Anor [2002] NSWSC 898, an order for mediation was made by the court.",Voice Rule
"In the case of Singh v MIMA [1998] FCA 1240, what was the main argument presented by the applicant for review of the Refugee Review Tribunal's decision?","In the Singh v MIMA [1998] FCA 1240 case, the applicant argued for a review of the Refugee Review Tribunal's decision predominantly on the grounds of procedural fairness.",The primary contention put forward by the applicant in the case of Singh v MIMA [1998] FCA 1240 for the review of the Refugee Review Tribunal's decision was that an error of law had been made by the Tribunal.,Voice Rule
"In the case of Carvajal v Lamba [2019] NSWDC 284, did the court draw any adverse inference against the plaintiff for not mentioning certain details about the accident in her initial descriptions?","In the Carvajal v Lamba [2019] NSWDC 284 case, the court did not draw an adverse inference against the plaintiff for omitting certain details about the accident in her initial descriptions.","In the Carvajal v Lamba [2019] NSWDC 284 case, no adverse inference was drawn by the court against the plaintiff for the omission of certain accident details in her initial descriptions.",Voice Rule
