category,word,zipf,frequency_category,frequency,dominant_pos,pos_percentage,all_pos,cd_count,cd_percentage
ambiguous-emotion,get,6.66062849230587,High-frequency,233772,Verb,0.9999229023000814,Verb.Noun,8336,99.38006676204101
ambiguous-emotion,want,6.4401868823515045,High-frequency,140718,Verb,0.9990399863464725,Verb.Noun,8305,99.01049117787316
ambiguous-emotion,need,6.111647782919253,High-frequency,66040,Verb,0.9468368931160785,Verb.Noun.Preposition,8076,96.28040057224607
ambiguous-emotion,thing,6.036307065878121,High-frequency,55522,Noun,0.9996034750009012,Noun.Name,8058,96.06580829756795
ambiguous-emotion,work,5.90142855136968,High-frequency,40699,Verb,0.5669641759484645,Verb.Noun,7670,91.44015259895089
ambiguous-emotion,must,5.844039837815181,High-frequency,35661,Verb,0.9990690032858708,Verb.Noun,7154,85.28850739151169
ambiguous-emotion,world,5.657640243523821,High-frequency,23216,Noun,0.9997408990801917,Noun.Name,6194,73.84358607534574
ambiguous-emotion,matter,5.568318924253844,High-frequency,18900,Noun,0.5567441614150294,Noun.Verb.Determiner.Adjective.Adverb.Pronoun,6242,74.41583214115403
ambiguous-emotion,damn,5.452032468261029,High-frequency,14460,Adjective,0.35055478502080445,Adjective.Verb.Interjection.Adverb.Noun.Name,4711,56.163567000476874
ambiguous-emotion,part,5.416924855227094,High-frequency,13337,Noun,0.971111277856982,Noun.Adverb.Verb.Preposition.Name,5604,66.80972818311875
ambiguous-emotion,drink,5.392824665214425,High-frequency,12617,Noun,0.5121815728910404,Noun.Verb,4353,51.89556509298999
ambiguous-emotion,change,5.380289187188625,High-frequency,12258,Verb,0.7151965993623804,Verb.Noun,5259,62.6967095851216
ambiguous-emotion,water,5.351738198028865,High-frequency,11478,Noun,0.991102581995813,Noun.Verb.Name,4127,49.20123986647592
ambiguous-emotion,couple,5.3485484716608545,High-frequency,11394,Noun,0.9822589144563499,Noun.Verb,4989,59.47782546494993
ambiguous-emotion,least,5.3170170764799085,High-frequency,10596,Adverb,0.9658071219420044,Adverb.Determiner,5406,64.44921316165951
ambiguous-emotion,question,5.296885892138455,High-frequency,10116,Noun,0.9289741814224948,Noun.Verb,4587,54.68526466380544
ambiguous-emotion,sex,5.181807780548456,High-frequency,7761,Noun,0.9966460268317854,Noun.Verb.Name,2490,29.685264663805437
ambiguous-emotion,music,5.180294460179846,High-frequency,7734,Noun,0.9996113989637305,Noun.Name,2699,32.17691940867907
ambiguous-emotion,serious,5.170757876112027,High-frequency,7566,Adjective,0.9998676022772408,Adjective.Noun,4006,47.758702908917506
ambiguous-emotion,touch,5.168917398795111,High-frequency,7534,Verb,0.6791781904385619,Verb.Noun.Preposition,4000,47.68717215069147
ambiguous-emotion,sweet,5.161417849857884,High-frequency,7405,Adjective,0.9683141503046716,Adjective.Name.Noun,3578,42.656175488793515
ambiguous-emotion,sound,5.1559890981464855,High-frequency,7313,Verb,0.4762556452716573,Verb.Noun.Adverb.Adjective.Name,4069,48.509775870290895
ambiguous-emotion,sense,5.119397253399184,High-frequency,6722,Noun,0.9304438486744117,Noun.Verb,3839,45.76776347162613
ambiguous-emotion,piece,5.0946078674364355,High-frequency,6349,Noun,0.9966897856242118,Noun.Verb,3510,41.84549356223176
ambiguous-emotion,wonder,5.067590179988558,High-frequency,5966,Verb,0.7459250546126701,Verb.Noun.Adjective.Name,3567,42.525035765379116
ambiguous-emotion,finish,4.9947813883260155,High-frequency,5045,Verb,0.8743050039714059,Verb.Noun,3124,37.24368144969004
ambiguous-emotion,blow,4.988801782888483,High-frequency,4976,Verb,0.8298896690070211,Verb.Noun.Name,2826,33.69098712446352
ambiguous-emotion,surprise,4.948411433540574,High-frequency,4534,Noun,0.7639380530973451,Noun.Verb,2738,32.64186933714831
ambiguous-emotion,smell,4.91930241460417,High-frequency,4240,Verb,0.7159707478178816,Verb.Noun,2396,28.564616118264187
ambiguous-emotion,star,4.909882238856553,High-frequency,4149,Noun,0.941303824873707,Noun.Verb.Adjective.Name,1821,21.70958512160229
ambiguous-emotion,group,4.867368360464324,High-frequency,3762,Noun,0.9982668977469671,Noun.Verb,2097,25.0
ambiguous-emotion,bastard,4.816749289684327,High-frequency,3348,Noun,0.9994019138755981,Noun.Name,1669,19.897472579876016
ambiguous-emotion,sea,4.776560946443122,High-frequency,3052,Noun,0.9990199281280627,Noun.Name,1353,16.13018597997139
ambiguous-emotion,raise,4.741466792614535,High-frequency,2815,Verb,0.8775292864749734,Verb.Noun,1872,22.317596566523605
ambiguous-emotion,corner,4.719968936173249,High-frequency,2679,Noun,0.9906367041198502,Noun.Verb,1806,21.530758226037197
ambiguous-emotion,taste,4.709803784359197,High-frequency,2617,Noun,0.6610687022900763,Noun.Verb,1825,21.757272293752983
ambiguous-emotion,interest,4.7066404216454725,High-frequency,2598,Noun,0.897770945426595,Noun.Verb,1828,21.793037672866
ambiguous-emotion,pool,4.671502176178114,High-frequency,2396,Noun,0.994985374007522,Noun.Verb,1200,14.30615164520744
ambiguous-emotion,necessary,4.6621621499239705,High-frequency,2345,Adjective,1.0,Adjective,1702,20.29089175011922
ambiguous-emotion,sight,4.655821971892951,High-frequency,2311,Noun,0.9805194805194806,Noun.Verb,1677,19.992846924177396
ambiguous-emotion,hearing,4.650149782226656,High-frequency,2281,Verb,0.6018396846254928,Verb.Noun,1600,19.074868860276588
ambiguous-emotion,main,4.6302906357490645,High-frequency,2179,Adjective,0.9232536764705882,Adjective.Name.Noun.Adverb,1400,16.690510252742012
ambiguous-emotion,shake,4.597615293399442,High-frequency,2021,Verb,0.8659384309831182,Verb.Noun,1296,15.450643776824036
ambiguous-emotion,signal,4.576715856799913,High-frequency,1926,Noun,0.9111226611226612,Noun.Verb.Name,1024,12.207916070577015
ambiguous-emotion,subject,4.567375830545769,High-frequency,1885,Noun,0.8913159296750133,Noun.Preposition.Verb.Adjective,1361,16.22556032427277
ambiguous-emotion,unit,4.558065838834353,High-frequency,1845,Noun,0.9994579945799458,Noun.Name,1007,12.005245588936576
ambiguous-emotion,lake,4.555943298450268,High-frequency,1836,Noun,0.9558342420937841,Noun.Name,802,9.56127801621364
ambiguous-emotion,base,4.548311348386137,High-frequency,1804,Noun,0.8830376940133038,Noun.Verb.Adjective,1011,12.052932761087268
ambiguous-emotion,bless,4.544444482711833,High-frequency,1788,Verb,1.0,Verb,1115,13.292799237005246
ambiguous-emotion,noise,4.542254144453354,High-frequency,1779,Noun,0.9983108108108109,Noun.Name.Verb,1252,14.926084883166428
ambiguous-emotion,suck,4.542254144453354,High-frequency,1779,Verb,0.9623806850084222,Verb.Noun.Name,1172,13.972341440152599
ambiguous-emotion,genius,4.540787757640167,High-frequency,1773,Noun,0.998304126625212,Noun.Name,1174,13.996185026227945
ambiguous-emotion,scare,4.52559150510997,High-frequency,1712,Verb,0.8885647607934656,Verb.Noun,1261,15.033381020505486
ambiguous-emotion,ocean,4.481043631726767,High-frequency,1545,Noun,0.9637305699481865,Noun.Name.Adjective,862,10.27658559847401
ambiguous-emotion,invite,4.470811089437629,High-frequency,1509,Verb,0.9582504970178927,Verb.Noun,1111,13.245112064854554
ambiguous-emotion,affair,4.468793122731368,High-frequency,1502,Noun,1.0,Noun,834,9.94277539341917
ambiguous-emotion,shock,4.458855937934716,High-frequency,1468,Noun,0.8828337874659401,Noun.Verb,1085,12.93514544587506
ambiguous-emotion,source,4.449593028191323,High-frequency,1437,Noun,0.9986082115518441,Noun.Verb,812,9.680495946590367
ambiguous-emotion,grave,4.419262919996059,High-frequency,1340,Noun,0.7788605697151424,Noun.Adjective,881,10.503099666189796
ambiguous-emotion,curious,4.418290255576264,High-frequency,1337,Adjective,0.9992526158445441,Adjective.Noun,1027,12.243681449690033
ambiguous-emotion,concern,4.41666429155832,High-frequency,1332,Noun,0.7747005988023952,Noun.Verb,1068,12.73247496423462
ambiguous-emotion,request,4.40744465381876,High-frequency,1304,Noun,0.6418711656441718,Noun.Verb,910,10.848831664282308
ambiguous-emotion,falls,4.406445126376633,High-frequency,1301,Verb,0.6023076923076923,Verb.Noun.Name,871,10.383881735813066
ambiguous-emotion,cow,4.406445126376633,High-frequency,1301,Noun,0.991499227202473,Noun.Verb.Name,728,8.679065331425846
ambiguous-emotion,channel,4.387352184467611,High-frequency,1245,Noun,0.9082864038616251,Noun.Verb.Name,726,8.6552217453505
ambiguous-emotion,bay,4.38420384177358,High-frequency,1236,Noun,0.9641693811074918,Noun.Name.Verb.Adjective,612,7.296137339055794
ambiguous-emotion,vision,4.377837847762842,High-frequency,1218,Noun,1.0,Noun,751,8.953266571292323
ambiguous-emotion,shift,4.358160067506498,High-frequency,1164,Noun,0.6993127147766323,Noun.Verb,793,9.453981878874583
ambiguous-emotion,cutting,4.343758058190566,High-frequency,1126,Verb,0.8365896980461812,Verb.Noun.Adjective.Name,904,10.777300906056272
ambiguous-emotion,chain,4.32646259876978,High-frequency,1082,Noun,0.9418282548476454,Noun.Verb,739,8.810205054840248
ambiguous-emotion,champion,4.320405394836998,High-frequency,1067,Noun,0.8914873713751169,Noun.Verb.Adjective.Name.Adverb,511,6.092036242250835
ambiguous-emotion,bow,4.3067744919373965,High-frequency,1034,Noun,0.5822784810126582,Noun.Verb.Name,609,7.260371959942776
ambiguous-emotion,fever,4.2995819201452,High-frequency,1017,Noun,0.9990167158308751,Noun.Name,570,6.795422031473534
ambiguous-emotion,salt,4.290093480568158,High-frequency,995,Noun,0.8892245720040282,Noun.Name.Verb.Adjective,612,7.296137339055794
ambiguous-emotion,interrupt,4.27229203442056,High-frequency,955,Verb,0.9832285115303984,Verb.Noun,849,10.121602288984263
ambiguous-emotion,curse,4.260317090698395,High-frequency,929,Noun,0.7147505422993492,Noun.Verb,517,6.163567000476872
ambiguous-emotion,fuel,4.234833735510501,High-frequency,876,Noun,0.9862227324913893,Noun.Verb,386,4.601812112541727
ambiguous-emotion,electric,4.2338421951667735,High-frequency,874,Adjective,0.9827981651376146,Adjective.Noun,537,6.402002861230329
ambiguous-emotion,tone,4.226837293598114,High-frequency,860,Noun,0.8453488372093023,Noun.Verb.Name,640,7.629947544110634
ambiguous-emotion,strip,4.195466658228698,High-frequency,800,Noun,0.7206982543640897,Noun.Verb,596,7.105388650453029
ambiguous-emotion,ace,4.1680519827361024,High-frequency,751,Noun,0.7709720372836218,Noun.Adjective.Name,321,3.82689556509299
ambiguous-emotion,audition,4.140638843196264,High-frequency,705,Noun,0.7130681818181818,Noun.Verb,307,3.65999046256557
ambiguous-emotion,stink,4.12049403867978,High-frequency,673,Verb,0.7183308494783904,Verb.Noun,513,6.115879828326181
ambiguous-emotion,marvelous,4.119203415198285,High-frequency,671,Adjective,0.9667170953101362,Adjective.Name,422,5.03099666189795
ambiguous-emotion,excitement,4.0904847875897286,High-frequency,628,Noun,0.9936102236421726,Noun.Name,523,6.235097758702909
ambiguous-emotion,pill,4.072871080765592,High-frequency,603,Noun,0.9983361064891847,Noun.Name,387,4.6137339055794
ambiguous-emotion,ford,4.061211468220598,High-frequency,587,Name,0.8344709897610921,Name.Noun.Verb,251,2.9923700524558896
ambiguous-emotion,electricity,4.05899000822664,High-frequency,584,Noun,1.0,Noun,373,4.44682880305198
ambiguous-emotion,perfume,4.058246989256859,High-frequency,583,Noun,0.9896907216494846,Noun.Verb.Name,391,4.661421077730091
ambiguous-emotion,bitter,4.046946408539531,High-frequency,568,Adjective,0.984182776801406,Adjective.Noun,456,5.436337625178827
ambiguous-emotion,commitment,4.032985740996245,High-frequency,550,Noun,1.0,Noun,438,5.221745350500716
ambiguous-emotion,wizard,4.026633971733307,High-frequency,542,Noun,0.9077490774907749,Noun.Adjective.Name,217,2.587029089175012
ambiguous-emotion,sober,4.004483843771672,High-frequency,515,Adjective,0.806640625,Adjective.Verb,376,4.4825941821649975
ambiguous-emotion,investment,3.9890634849041775,High-frequency,497,Noun,1.0,Noun,373,4.44682880305198
ambiguous-emotion,smack,3.9784704114067533,High-frequency,485,Verb,0.6363636363636364,Verb.Noun,371,4.422985216976634
