question,accepted_response,rejected_response,rule
"In the case of Stevanovic v Stjelja & Ors [1999] NSWSC 29, how were the damages awarded among the defendants and what was the basis for the calculation?","In Stevanovic v Stjelja & Ors [1999] NSWSC 29, the court apportions damages among the defendants based on their respective degrees of negligence, calculating the amounts according to their contributory fault in the incident.","In Stevanovic v Stjelja & Ors [1999] NSWSC 29, the court apportions damages among the defendants based on their respective contributions to the harm, utilizing principles of comparative negligence.",pronoun
What was the decision of the Court of Appeal in the case of CONTAINERS v SUTHERLAND SHIRE COUNCIL [1997] NSWCA 14?,The Court of Appeal determined that Containers Pty Ltd was entitled to damages from Sutherland Shire Council for negligent misstatement.,The Court of Appeal determined that CONTAINERS did not establish a legal right to continue its landfill operations against the Sutherland Shire Council in CONTAINERS v SUTHERLAND SHIRE COUNCIL [1997] NSWCA 14.,tense
What is the requirement of the AD/EMB-110/50 - Automatic Propeller Feathering System directive under the Commonwealth Civil Aviation Regulations 1998?,The Commonwealth Civil Aviation Regulations 1998 mandate that the AD/EMB-110/50 directive requires the installation of an automatic propeller feathering system in aircraft.,The Commonwealth Civil Aviation Regulations 1998 mandate the installation of an Automatic Propeller Feathering System in the AD/EMB-110/50 aircraft to enhance safety during flight operations.,mood
"In the case of Regina v Moussad [1999] NSWCCA 337, what was the Crown's argument regarding Walsh's conduct and how did the justices interpret the relevant statute?","In Regina v Moussad [1999] NSWCCA 337, the Crown argued that Walsh's conduct constituted an offence, while the justices interpreted the relevant statute as not encompassing Walsh's actions within its scope.","In Regina v Moussad [1999] NSWCCA 337, the Crown argued that Walsh's actions constituted misconduct, which the justices determined as not fitting within the statutory definition as they interpreted the relevant law.",tense
"In the case of Maruf v Secretary, NSW Ministry of Health [2022] NSWCATAD 2, what were the allegations made by Mr Maruf against the respondent?","Mr. Maruf heartbreakingly alleged that the Secretary, NSW Ministry of Health, unfairly discriminated against him based on his disability.","In Maruf v Secretary, NSW Ministry of Health [2022] NSWCATAD 2, Mr Maruf alleged that the respondent had engaged in discriminatory conduct against him on the basis of his disability.",words
What were the key issues in the case of Andrew Thomas V Parramatta City Council [2006] NSWLEC 387 in the Land and Environment Court of New South Wales?,The case of Andrew Thomas V Parramatta City Council [2006] NSWLEC 387 in the Land and Environment Court of New South Wales primarily centered on determining the legality of the Council's refusal to grant a development application for property modifications.,The case of Andrew Thomas v Parramatta City Council [2006] NSWLEC 387 primarily concerned the interpretation of environmental planning instruments and the assessment of development applications.,tense
"Under the Fisheries (Rock Lobster) Rules 2022 (Tas), is it permissible for the holder of a fishing licence (rock lobster) to transfer rock lobster from one fishing vessel to another?","Under the Fisheries (Rock Lobster) Rules 2022 (Tas), the holder of a fishing licence (rock lobster) cannot transfer rock lobster from one fishing vessel to another.","Under the Fisheries (Rock Lobster) Rules 2022 (Tas), the holder of a fishing licence (rock lobster) may not transfer rock lobster from one fishing vessel to another.",pronoun
"In the case of ABC Learning Centres Limited, in the matter of ABC Learning Centres Limited; application by Walker (No. 7) [2009] FCA 454, what was the concern raised by the Administrators regarding the notification of the court's orders to interested parties?","The Administrators passionately expressed their worry about ensuring that all interested parties receive prompt and clear notification of the court's orders, emphasizing the critical importance of transparency and fairness in the legal process.","The Administrators expressed concern regarding the adequacy of notifying interested parties about the court's orders in the case of ABC Learning Centres Limited, in the matter of ABC Learning Centres Limited; application by Walker (No. 7) [2009] FCA 454.",words
What is the requirement of the AD/EMB-110/50 - Automatic Propeller Feathering System directive under the Commonwealth Civil Aviation Regulations 1998?,"The AD/EMB-110/50 - Automatic Propeller Feathering System directive, under the Commonwealth Civil Aviation Regulations 1998, mandates that aircraft must undergo inspection and necessary adjustment of the automatic propeller feathering system to ensure it operates correctly.",The Commonwealth Civil Aviation Regulations 1998 mandate the installation of an automatic propeller feathering system for the AD/EMB-110/50 aircraft to ensure operational safety during engine failures.,tense
What is the requirement for Fokker F28 Series Aeroplanes as per the AD/F28/71 Wing to Fuselage Skin Connection under the Civil Aviation Regulations 1998 of the Commonwealth of Australia?,"The Civil Aviation Regulations 1998 of the Commonwealth of Australia passionately mandate that Fokker F28 Series Aeroplanes must undergo rigorous inspections of the wing to fuselage skin connection to ensure the utmost safety and integrity of these connections, safeguarding the lives of all on board.","The AD/F28/71 mandates the inspection and rectification of the wing to fuselage skin connection for Fokker F28 Series Aeroplanes, in accordance with the Civil Aviation Regulations 1998 of the Commonwealth of Australia.",words
